S&P500 index 100-largest-cap component (SlickCharts, 2017);;
Company; Symbol; Weight
Apple Inc.; AAPL; 3.576618
Microsoft Corporation; MSFT; 2.465848
Exxon Mobil Corporation; XOM; 1.650024
Johnson & Johnson; JNJ; 1.638692
Amazon.com Inc.; AMZN; 1.636037
JPMorgan Chase & Co.; JPM; 1.586394
Berkshire Hathaway Inc. Class B; BRK-B; 1.586241
Facebook Inc. Class A; FB; 1.555812
General Electric Company; GE; 1.310851
Wells Fargo & Company; WFC; 1.283929
AT&T Inc.; T; 1.276653
Alphabet Inc. Class A; GOOGL; 1.232042
Alphabet Inc. Class C; GOOG; 1.206884
Bank of America Corporation; BAC; 1.201716
Procter & Gamble Company; PG; 1.195715
Pfizer Inc.; PFE; 1.020305
Chevron Corporation; CVX; 1.020188
Verizon Communications Inc.; VZ; 1.012327
Merck & Co. Inc.; MRK; 0.894700
Comcast Corporation Class A; CMCSA; 0.886450
Home Depot Inc.; HD; 0.872641
Intel Corporation; INTC; 0.849571
Cisco Systems Inc.; CSCO; 0.844209
Citigroup Inc; C; 0.833109
Philip Morris International Inc.; PM; 0.820127
Visa Inc. Class A; V; 0.810569
Coca-Cola Company; KO; 0.795899
Walt Disney Company; DIS; 0.792759
PepsiCo Inc.; PEP; 0.772451
International Business Machines Corporation; IBM; 0.771191
UnitedHealth Group Incorporated; UNH; 0.761670
Altria Group Inc.; MO; 0.712398
Amgen Inc.; AMGN; 0.638475
Oracle Corporation; ORCL; 0.635588
3M Company; MMM; 0.553474
Medtronic plc; MDT; 0.547486
Schlumberger NV; SLB; 0.547265
Wal-Mart Stores Inc.; WMT; 0.535019
McDonald's Corporation; MCD; 0.524446
Mastercard Incorporated Class A; MA; 0.520181
Boeing Company; BA; 0.499867
AbbVie Inc.; ABBV; 0.493986
Honeywell International Inc.; HON; 0.467634
Bristol-Myers Squibb Company; BMY; 0.462899
Gilead Sciences Inc.; GILD; 0.453207
Allergan plc; AGN; 0.451669
Celgene Corporation; CELG; 0.449793
Goldman Sachs Group Inc.; GS; 0.449006
Union Pacific Corporation; UNP; 0.435784
U.S. Bancorp; USB; 0.432063
CVS Health Corporation; CVS; 0.425874
United Technologies Corporation; UTX; 0.422697
QUALCOMM Incorporated; QCOM; 0.414721
Broadcom Limited; AVGO; 0.410189
Starbucks Corporation; SBUX; 0.410189
Priceline Group Inc; PCLN; 0.395214
Eli Lilly and Company; LLY; 0.395097
Abbott Laboratories; ABT; 0.385833
NIKE Inc. Class B; NKE; 0.381126
Costco Wholesale Corporation; COST; 0.380922
Texas Instruments Incorporated; TXN; 0.377793
Accenture Plc Class A; ACN; 0.375881
Walgreens Boots Alliance Inc; WBA; 0.368413
Time Warner Inc.; TWX; 0.368178
United Parcel Service Inc. Class B; UPS; 0.359209
Dow Chemical Company; DOW; 0.349745
Charter Communications Inc. Class A; CHTR; 0.347223
Mondelez International Inc. Class A; MDLZ; 0.343124
E. I. du Pont de Nemours and Company; DD; 0.339672
Lockheed Martin Corporation; LMT; 0.328985
Lowe's Companies Inc.; LOW; 0.324880
Morgan Stanley; MS; 0.322289
Colgate-Palmolive Company; CL; 0.319027
Chubb Limited; CB; 0.316083
Thermo Fisher Scientific Inc.; TMO; 0.308206
American International Group Inc.; AIG; 0.304815
Biogen Inc.; BIIB; 0.304242
PNC Financial Services Group Inc.; PNC; 0.302967
Netflix Inc.; NFLX; 0.301698
American Express Company; AXP; 0.300927
NextEra Energy Inc.; NEE; 0.300321
Adobe Systems Incorporated; ADBE; 0.290632
ConocoPhillips; COP; 0.286036
MetLife Inc.; MET; 0.283139
Simon Property Group Inc.; SPG; 0.282874
Duke Energy Corporation; DUK; 0.277113
Caterpillar Inc.; CAT; 0.274148
Kraft Heinz Company; KHC; 0.272454
EOG Resources Inc.; EOG; 0.272327
NVIDIA Corporation; NVDA; 0.268365
General Dynamics Corporation; GD; 0.265356
Salesforce.com inc.; CRM; 0.257260
Danaher Corporation; DHR; 0.257143
TJX Companies Inc; TJX; 0.251802
General Motors Company; GM; 0.251253
Reynolds American Inc.; RAI; 0.249596
Bank of New York Mellon Corporation; BK; 0.244373
Charles Schwab Corporation; SCHW; 0.243383
Occidental Petroleum Corporation; OXY; 0.243361
Monsanto Company; MON; 0.242804